Property Title,Price,Rooms,Floors,Bedrooms,Living,Type,Condition,Standing,Construction year,Renovation year,Heating,Hot water,Energy efficiency rating,Environmental (CO₂) impact rating,Total,Hot water waste,Bathrooms,Toilet rooms,Shower rooms,Land,Balconies,Balcony,Parking lots (outside),Parking lots (inside),Internal,Terraces,Garages (outside),Environment,Terrace,Cellar,Beds
"Condo/Apartment for sale in Paris, France","$1,202,648",4,,2,83 m²,,,,,,,,E269,E58,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$120,363",1,,,11 m²,Condo/Apartment,,,,,Electric,,No data,No data,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$390,669",3,,2,38 m²,Condo/Apartment,,,,,Gas,,F388,F84,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$344,708",1,,,30 m²,,,,,,,,F407,F89,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$689,416",2,,1,44 m²,,,,,,,,E277,B9,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$315,162",2,,1,34 m²,Condo/Apartment,,,,,Gas,,E274,E58,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$191,504",1,,,18 m²,,,,,,,,F411,E57,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$369,330",3,,1,59 m²,Condo/Apartment,,,,,Electric,,No data,No data,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$392,858",2,,1,47 m²,Condo/Apartment,,,,,Gas,,E231,E50,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$1,202,648",5,,4,109 m²,Condo/Apartment,,,,,Gas,,D191,D31,,,1,2,,,,,,,,,,,,,
Studios for sale Paris-16th Porte Maillot,"$273,578",2,,,21 m²,,,,,,,,D244,D47,21 m²,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$1,313,173",4,,2,97 m²,Condo/Apartment,,,,,Electric,,F341,C11,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$1,417,133",5,,3,122 m²,,,,,,,,No data,No data,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$1,696,182",3,,2,126 m²,Condo/Apartment,,,,,Gas,,D168,D33,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$508,855",2,,1,48 m²,Condo/Apartment,,,,,Gas,,E254,E55,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$383,009",2,,1,29 m²,Condo/Apartment,,,,,Electric,,G615,C20,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$183,844",1,,,27 m²,Condo/Apartment,New,,,,,,No data,No data,,,,1,,,,,1,,,,,,,,
"Condo/Apartment for sale in Paris, France","$897,335",3,,2,82 m²,Condo/Apartment,,,,,Fuel oil,,E220,E68,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$1,198,271",5,,3,186 m²,Condo/Apartment,,,,,Gas,,C77,C16,,,1,2,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$694,887",3,,2,60 m²,Condo/Apartment,,,,,Electric,,D210,B6,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$298,747",3,,2,67 m²,Condo/Apartment,New,,,,,,No data,No data,,,,1,,,,,1,,,,,,,,
"Condo/Apartment for sale in Paris, France","$393,952",2,,1,37 m²,Condo/Apartment,New,,,,,,D235,B10,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$370,971",1,,,32 m²,Condo/Apartment,,,,,Gas,,E291,E62,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$463,988",2,,1,48 m²,Condo/Apartment,,,,,Gas,,D180,D37,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$244,467",2,,1,47 m²,,,,,,,,No data,No data,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$315,982",3,,2,67 m²,,,,,,,,No data,No data,,,1,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$256,069",1,,,15 m²,,,,,,,,F414,C13,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$514,326",4,,3,62 m²,Condo/Apartment,,,,,Gas,,D226,D48,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$705,831",2,,1,60 m²,Condo/Apartment,,,,,Gas,,E313,E55,,,1,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$393,952",2,,1,31 m²,Condo/Apartment,,,,,Electric,,G684,C22,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$218,862",3,,,80 m²,,,,,,,,No data,No data,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$383,009",1,,,31 m²,Condo/Apartment,New,,,,Electric,,F368,C12,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$1,083,368",5,,4,91 m²,Condo/Apartment,,,,,Gas,,D215,D35,,,1,2,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$322,822",2,,1,33 m²,Condo/Apartment,,,,,Electric,,F368,C12,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$503,383",2,,1,41 m²,Condo/Apartment,,,,,Electric,,F378,C12,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$158,675",1,,,14 m²,,,,,,,,C140,D50,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$645,643",3,,2,55 m²,,,,,,,,E280,D35,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$108,337",1,,,12 m²,Condo/Apartment,,,,,Gas,,F511,F108,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$1,315,909",4,,3,81 m²,Condo/Apartment,New,,,,,,No data,No data,,,1,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$804,319",4,,2,83 m²,Condo/Apartment,,,,,Gas,,E256,E56,,,1,1,,,,,,1,,,,,,,
"Condo/Apartment for sale in Paris, France","$544,967",2,,1,45 m²,Condo/Apartment,,,,,Gas,,F374,F82,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$656,587",3,,2,67 m²,,,,,,,,D234,D42,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$505,572",3,,2,58 m²,Condo/Apartment,,,,,Gas,,D222,D48,,,1,1,,,,,,1,,,,,,,
"Condo/Apartment for sale in Paris, France","$600,339",2,,1,50 m²,,,,,,,,No data,No data,,,1,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$476,025",2,,1,49 m²,Condo/Apartment,,,,,Electric,,E290,B9,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$501,977",3,,2,54 m²,,,,,,,,No data,No data,,,1,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$845,902",3,,2,58 m²,,,,,,,,No data,No data,,,1,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, FR","$1,041,675",3,,2,63 m²,,,,,,,,No data,No data,,,1,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, FR","$1,043,863",3,,2,63 m²,Condo/Apartment,New,,,,,,No data,No data,,,1,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$1,043,863",3,,2,63 m²,Condo/Apartment,New,,,,,,No data,No data,,,1,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$1,034,124",2,,1,72 m²,Condo/Apartment,New,,,,,,No data,No data,,,1,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$429,189",2,,1,48 m²,Condo/Apartment,,,,,Fuel oil,,G335,G104,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$470,554",3,,2,44 m²,,,,,,,,No data,No data,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$54,716",1,,,5 m²,Condo/Apartment,,,,,Electric,,G743,C23,,,,1,,,,,,,,,,,,,
"House for sale in Paris, France","$1,043,973",4,,3,102 m²,,,,,,,,No data,No data,,,1,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$2,845,209",6,,4,200 m²,Condo/Apartment,,,,,Gas,,E227,E50,,,1,2,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$436,630",3,,2,43 m²,Condo/Apartment,,,,,Gas,,E248,E53,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$284,521",1,,,26 m²,,,,,,,,G555,C18,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$2,845,209",5,,3,160 m²,,,,,,,,E250,E65,,,,2,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$919,221",4,,3,80 m²,Condo/Apartment,,,,,Electric,,E312,B10,,,1,2,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$103,960",1,,,8 m²,Condo/Apartment,,,,,Electric,,G790,C25,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$485,874",2,,1,49 m²,Condo/Apartment,,,,,Gas,,E269,E58,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$585,456",2,,1,31 m²,Condo/Apartment,New,,,,Fuel oil,,E278,E56,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$317,350",1,,,25 m²,Condo/Apartment,,,,,Electric,,F431,C14,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$284,959",2,,1,26 m²,,,,,,,,D268,D51,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$397,235",1,,,27 m²,Condo/Apartment,,,,,Electric,,F359,B11,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$437,724",3,,2,69 m²,Condo/Apartment,,,,,Gas,,D206,D44,,,1,1,,,,,,1,,,,,,,
"House for sale in Paris, France","$874,354",4,,3,100 m²,House,,,,,Gas,,C105,C22,,,1,2,,,,,,2,,,,,,,
"Condo/Apartment for sale in Paris, France","$1,365,700",3,,1,70 m²,Condo/Apartment,,,,,Gas,,D213,B6,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$1,165,441",5,,3,118 m²,Condo/Apartment,,,,,Gas,,D245,D49,,,,2,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$235,277",1,,,17 m²,Condo/Apartment,,,,,Gas,,E297,E61,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$492,440",1,,,28 m²,Condo/Apartment,,,,,Electric,,C175,A5,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$804,319",3,,2,78 m²,Condo/Apartment,,,,,Electric,,D235,B7,,,1,1,,,,,,1,,,,,,,
"Condo/Apartment for sale in Paris, France","$476,025",2,,1,49 m²,Condo/Apartment,,,,,Gas,,D221,D36,,,1,1,,,,,,1,,,,,,,
"Condo/Apartment for sale in Paris, France","$476,025",2,,1,49 m²,Condo/Apartment,,,,,Gas,,D221,D36,,,1,1,,,,,,1,,,,,,,
"Condo/Apartment for sale in Paris, France","$2,275,073",6,,4,307 m²,Condo/Apartment,,,,,Gas,,D195,D42,,,1,2,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$334,804",2,,1,29 m²,Condo/Apartment,,,,,Gas,,E305,E65,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$175,090",1,,1,15 m²,Condo/Apartment,,,,,Electric,,G933,C30,,,3,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$941,107",4,,3,87 m²,,,,,,,,D192,D41,,,1,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$355,651",2,,1,33 m²,,,,,,,,No data,No data,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$172,901",1,,,13 m²,,,,,,,,No data,No data,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$2,954,640",6,,4,180 m²,,,,,,,,No data,No data,,,1,2,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$755,075",2,,1,51 m²,Condo/Apartment,,,,,Gas,,E241,E51,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$229,805",2,,1,23 m²,,,,,,,,No data,No data,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$744,131",3,,2,62 m²,Condo/Apartment,,,,,Gas,,D197,D42,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$2,133,906",8,,,181 m²,Condo/Apartment,,,,,Gas,,No data,No data,,,,2,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$240,748",1,,,25 m²,,,,,,,,D269,B8,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$311,879",1,,,32 m²,Condo/Apartment,,,,,Electric,,E329,B10,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$875,449",2,,,102 m²,Condo/Apartment,,,,,Electric,,No data,No data,,,,2,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$477,120",3,,2,48 m²,,,,,,,,E296,B9,,,1,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$982,691",4,,3,98 m²,Condo/Apartment,,,,,Solar,,C166,C29,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$711,302",4,,2,75 m²,Condo/Apartment,,,,,Gas,,D235,D34,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$425,687",2,,1,40 m²,,,,,,,,D242,D34,,,,1,,,,,,,,,,,,,
Apartment,"$1,630,523",5,,4,126 m²,Condo/Apartment,,,2024,,,,No data,No data,126 m²,,,,,,,,,,,,,,,,
Apartment,"$619,380",2,,1,49 m²,Condo/Apartment,,,2025,,Gas,,A8,B8,49 m²,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$443,196",2,,1,33 m²,Condo/Apartment,,,,,Electric,,F365,D21,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$601,871",2,,1,36 m²,Condo/Apartment,New,,,,,,No data,No data,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, FR","$711,302",3,,2,79 m²,Condo/Apartment,,,,,Electric,,F414,C13,,,1,2,,,,,,1,,,,,,,
"Condo/Apartment for sale in Paris, France","$728,811",4,,3,81 m²,Condo/Apartment,,,,,Gas,,D189,B6,,,1,2,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, FR","$899,524",5,,4,101 m²,Condo/Apartment,,,,,Geothermal,,C161,C26,,,1,2,,,,,,1,,,,,,,
"Condo/Apartment for sale in Paris, France","$335,735",1,,,33 m²,Condo/Apartment,,,,,Geothermal,,E304,E62,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$899,524",4,,3,101 m²,Condo/Apartment,,,,,Geothermal,,C161,C26,,,1,2,,,,,,1,,,,,,,
"Condo/Apartment for sale in Paris, France","$629,229",2,,1,43 m²,Condo/Apartment,,,,,Electric,,G589,C19,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$421,091",3,,2,43 m²,Condo/Apartment,,,,,Electric,,D208,B6,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$217,768",1,,,20 m²,Condo/Apartment,,,,,Electric,,G761,C25,,,,1,,,,,,,,,,,,,
Apartment,"$436,630",2,,1,47 m²,Condo/Apartment,,,2022,,,,A61,B9,47 m²,,1,1,,,,,,,,,,,,,
Apartment,"$344,708",1,,1,24 m²,Condo/Apartment,,,1750,,Electric,,G933,D31,24 m²,,1,1,,,,,,,16 m²,,,,,,
Apartment,"$588,739",2,,1,56 m²,Condo/Apartment,,,1997,,Electric,,E310,B10,56 m²,,1,1,,,,,,,,,,,,,
Apartment,"$640,172",3,,2,62 m²,Condo/Apartment,,,1920,,Electric,,D240,D40,62 m²,,1,1,,,,,,1,30 m²,,,,,,
Apartment,"$328,293",1,,1,28 m²,Condo/Apartment,,,1960,,,,D218,D34,28 m²,,,1,1,,,,,,,,,,,,
Apartment,"$873,260",4,,2,73 m²,Condo/Apartment,,,1900,,Gas,,D202,D43,73 m²,,,2,1,,,,,,33 m²,,,,,,
Apartment,"$121,469",1,,1,10 m²,Condo/Apartment,,,1800,,Electric,,D331,A10,10 m²,,,1,1,,,,,,9 m²,,,,,,
Apartment,"$1,072,425",5,,3,100 m²,Condo/Apartment,,,1900,,,,F371,D47,100 m²,,1,1,1,,,,,,31 m²,,,,,,
Apartment,"$2,068,248",5,,3,120 m²,Condo/Apartment,,,1902,,Gas,,D237,E52,120 m²,,1,2,1,,,,,,37 m²,,,,,,
Renovated apartment,"$744,131",4,,3,90 m²,Condo/Apartment,,,1980,,Gas,,C132,C27,90 m²,,2,2,1,,,,,1,42 m²,,,,,,
Renovated apartment,"$744,131",5,,3,90 m²,Condo/Apartment,,,1980,,Gas,,C132,C27,90 m²,,2,2,1,,,,,1,42 m²,,,,,,
Apartment,"$486,968",2,,1,38 m²,Condo/Apartment,,,1830,,Electric,,E329,C11,38 m²,,,1,1,,,,,,,,,,,,
Apartment,"$645,643",1,,1,29 m²,Condo/Apartment,,,1960,,Gas,,D200,D40,29 m²,,,1,1,,,,,,,,,,,,
Apartment,"$820,733",5,,2,92 m²,Condo/Apartment,,,1914,,Electric,,G543,C18,92 m²,,1,1,,,,,,,,,,,,,
Apartment,"$2,243,338",6,,4,184 m²,Condo/Apartment,,,1880,,Gas,,No data,No data,184 m²,,,,,,,,,,,,,,,,
Apartment,"$273,578",1,,1,34 m²,Condo/Apartment,,,1975,,,,D240,D40,34 m²,,,1,1,,,,,,24 m²,,,,,,
Apartment,"$508,855",2,,1,40 m²,Condo/Apartment,,,,,Gas,,F352,F73,40 m²,,,1,1,,,,,,21 m²,,,,,,
Apartment,"$601,871",2,,1,41 m²,Condo/Apartment,,,1939,,Electric,,G552,C18,41 m²,,,1,1,,,,1,1,18 m²,,,,,,
Apartment,"$569,042",2,,1,50 m²,Condo/Apartment,,,1880,,Gas,,C176,D37,50 m²,,,1,1,,,,,,,,,,,,
Old apartment,"$525,269",2,,1,50 m²,Condo/Apartment,,,,,Electric,,F345,C11,50 m²,,,,1,,,,,,17 m²,,,,,,
Apartment,"$180,561",1,,1,15 m²,Condo/Apartment,,,1930,,Gas,,E300,D46,15 m²,,,1,1,,,,,,12 m²,,,,,,
Apartment,"$689,416",2,,1,51 m²,Condo/Apartment,,,1900,,Gas,,E297,E64,51 m²,,1,,,,,,,,16 m²,,,,,,
Apartment,"$1,586,751",3,,2,140 m²,Condo/Apartment,,,1780,,Gas,,F350,F80,140 m²,,1,1,,,,,,,30 m²,,,,,,
Apartment,"$541,684",1,,,39 m²,Condo/Apartment,,,1933,,Gas,,F411,F90,39 m²,,1,1,,,,,,,20 m²,,,,,,
Apartment,"$629,229",2,,1,64 m²,Condo/Apartment,,,1950,,Gas,,E264,E61,64 m²,,,1,1,,,,,,38 m²,,,,,,
Apartment,"$273,578",1,,,17 m²,Condo/Apartment,,,1900,,Gas,,G471,D48,17 m²,,,1,1,,,,,,9 m²,,,,,,
Renovated apartment,"$689,416",3,,2,70 m²,Condo/Apartment,,,1980,,Gas,,C157,D33,70 m²,,1,1,,,,,,1,26 m²,,,,,,
Apartment,"$711,302",3,,2,67 m²,Condo/Apartment,,,,,Gas,,D246,D42,67 m²,,1,1,,,,,,,30 m²,,,,,,
Apartment,"$393,952",2,,1,31 m²,Condo/Apartment,,,,,Gas,,F340,F73,31 m²,,,1,1,,,,,,18 m²,,,,,,
Renovated apartment,"$689,416",3,,2,70 m²,Condo/Apartment,,,1980,,Gas,,C157,D33,70 m²,,1,1,,,,,,1,26 m²,,,,,,
Apartment,"$962,994",4,,3,100 m²,Condo/Apartment,,,1995,,Electric,,D189,B9,100 m²,,1,1,1,,,,,1,30 m²,,,,,,
Apartment,"$651,115",4,,3,70 m²,Condo/Apartment,,,1890,,Electric,,C292,A9,70 m²,,2,2,,,,,,,20 m²,,,,,,
Apartment,"$618,286",3,,2,57 m²,Condo/Apartment,,,,,Gas,,F396,F87,57 m²,,,1,1,,,,,,,,,,,,
Apartment,"$962,994",4,,2,98 m²,Condo/Apartment,,,1976,,Gas,,E268,A1,98 m²,,1,,,,,,,1,34 m²,,,,,,
Apartment,"$634,700",2,,1,57 m²,Condo/Apartment,,,1968,,Gas,,C174,D37,57 m²,,,1,1,,,,,1,22 m²,,,,,,
Apartment,"$875,449",4,,3,63 m²,Condo/Apartment,,,,,Gas,,E268,E58,63 m²,,,,1,,,,,,,,,,,,
Apartment,"$1,367,889",5,,4,136 m²,Condo/Apartment,,,1974,,,,D191,C24,136 m²,,1,2,1,,,,,1,,,,,,,
Apartment,"$361,123",4,,2,35 m²,Condo/Apartment,,,1890,,Electric,,G506,C16,35 m²,,,1,1,,,,,,9 m²,,,,,,
Apartment,"$491,346",2,,1,55 m²,Condo/Apartment,,,1993,,Electric,,D197,B6,55 m²,,1,1,1,,,,,,,,,,,,
Apartment,"$1,094,311",4,,3,82 m²,Condo/Apartment,,,1900,,Gas,,E257,D48,82 m²,,1,1,,,,,,1,30 m²,,,,,,
Apartment,"$1,417,133",4,,3,111 m²,Condo/Apartment,,,1930,,Gas,,D247,D44,111 m²,,1,2,1,,,,,,,,,,,,
Apartment,"$764,923",3,,2,70 m²,Condo/Apartment,,,1830,,,,C180,E60,70 m²,,,1,1,,,,,,35 m²,,,,,,
Apartment,"$758,358",2,,1,57 m²,Condo/Apartment,,,,,Electric,,F389,C12,57 m²,,,1,1,,,,,,,,,,,,
Apartment,"$71,130",1,,1,7 m²,Condo/Apartment,,,1900,,Electric,,G450,D36,7 m²,,,,,,,,,,,,,,,,
Apartment,"$1,088,839",3,,2,90 m²,Condo/Apartment,,,1972,,,,E252,D38,90 m²,,1,1,,,,,,1,51 m²,,,,,,
Apartment,"$393,952",2,,1,35 m²,Condo/Apartment,,,1880,,Electric,,E270,B8,35 m²,,,1,1,,,,,,,,,,,,
Apartment,"$1,750,898",5,,3,170 m²,Condo/Apartment,,,1902,,Gas,,E264,E62,170 m²,,1,,1,,,,,,60 m²,,,,,,
Apartment,"$486,968",2,,1,50 m²,Condo/Apartment,,,1970,,Gas,,B74,C13,50 m²,,1,,,,,,,1,,,,,,,
Apartment,"$1,006,766",4,,2,95 m²,Condo/Apartment,,,1975,,,,D244,D44,95 m²,,2,2,,,,,,,40 m²,,,,,,
Apartment,"$716,774",2,,1,66 m²,Condo/Apartment,,,1959,,Gas,,E280,E50,66 m²,,1,,,,,,,1,33 m²,,,,,,
Apartment,"$1,258,458",4,,3,92 m²,Condo/Apartment,,,1993,,Electric,,D184,A5,92 m²,,1,1,1,,,,,1,24 m²,,,,,,
Apartment,"$349,085",1,,1,35 m²,Condo/Apartment,,,1880,,Electric,,F383,C12,35 m²,,,1,1,,,,,,25 m²,,,,,,
Apartment,"$634,700",3,,2,67 m²,Condo/Apartment,,,1895,,Electric,,F359,C11,67 m²,,1,1,,,,,,,25 m²,,,,,,
Apartment,"$853,563",3,,2,75 m²,Condo/Apartment,,,1961,,Gas,,D227,D49,75 m²,,1,1,,,,,,,25 m²,,,,,,
Apartment,"$385,197",2,,1,38 m²,Condo/Apartment,,,1895,,Electric,,F350,E60,38 m²,,1,,,,,,,,,,,,,,
Apartment,"$470,554",2,,1,54 m²,Condo/Apartment,,,,,Gas,,E303,E64,54 m²,,1,1,,,,,,,23 m²,,,,,,
Renovated apartment,"$984,880",4,,3,90 m²,Condo/Apartment,,,1965,,,,D183,C27,90 m²,,1,1,,,,,,1,33 m²,,,,,,
Apartment - 2 rooms - 48 m² - Paris 75004,"$655,492",2,,1,48 m²,Condo/Apartment,,,,,Electric,,E257,B8,48 m²,,1,,,,,,,,,,,,,,
Apartment - 3 rooms - 72 m² - Paris 75015,"$678,473",3,,2,72 m²,Condo/Apartment,,,,,Gas,,E250,D41,72 m²,,,,,,,,,,,,,,,,
Apartment - 4 rooms - 53 m² - Paris 75012,"$552,627",4,,3,53 m²,Condo/Apartment,,,,,Electric,,G443,C14,53 m²,,1,,,,,,,,,,,,,,
Apartment - 5 rooms - 113 m² - Paris 75020,"$930,164",5,,4,113 m²,Condo/Apartment,,,,,Electric,,D219,B7,113 m²,,1,,,,,,1,1,,,,,,,
"Condo/Apartment for sale in Paris, France","$279,049",2,,1,31 m²,Condo/Apartment,,,1893,,"Individual, Electric",,F417,C13,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale, 15th arrondissement of Paris, in Paris, France","$218,862",1,,1,18 m²,Condo/Apartment,,,1975,,,,E250,D47,,,1,1,,,,,,,,,,,,,
"House for sale in Paris, France","$1,630,523",7,,4,176 m²,House,,,1996,,"Individual, Gas",,E235,E51,,,,,,112 m²,,,1,,,,,,,,
"Condo/Apartment for sale in Paris, France","$842,619",3,,3,77 m²,Condo/Apartment,,,1910,,"Individual, Electric",,E255,B8,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$720,057",3,,2,101 m²,Condo/Apartment,,,1973,,,,D220,C29,,,1,1,,,,,1,,,,,,,,
Large T5 apartment with beautiful panoramic view,"$645,643",5,,4,98.32 m²,Condo/Apartment,,,,,Gas,,D228,D38,98 m²,,1,1,,,,,1,,,,,,,,
Apartment for sale 3 rooms PARIS 15TH DISTRICT (75),"$521,439",3,,2,70 m²,Condo/Apartment,,,1961,,,,E273,E60,70 m²,,1,,,,,,,,,,,,,,
Paris 12th (75012) T3-66.43m² on the René Dumont green corridor and on the inner courtyard,"$640,172",3,,2,66 m²,Condo/Apartment,,,,,Gas,,E241,E52,66 m²,,1,1,,,,,,,,,,,,,
PARIS 18th arrondissement - Rue Doudeauville - 3-room apartment,"$574,513",3,,2,61 m²,Condo/Apartment,,,1880,,Gas,,E260,E40,61 m²,,1,1,,,,,,,21 m²,,,,,,
Golden triangle apartment Paris 8th arrondissement 5 rooms 118 m2 + 37m² terrace,"$1,849,386",5,,3,128 m²,Condo/Apartment,,,1880,,Electric,Hot water tank,F334,C11,128 m²,,,,,,,,,,,,,,,,
Exlusif -Apartment Paris 3 room(s) 77 m2,"$612,814",3,,2,77 m²,Condo/Apartment,,,1992,,Electric,,D211,B6,77 m²,,2,,,,,,,1,23 m²,,,,,,
Apartment Paris 3 room(s) 67 m2,"$749,603",3,,2,67 m²,Condo/Apartment,,,1954,,,,D199,F61,67 m²,,1,1,,,,,,,,,,,,,
"Superb Apartment in the Prestigious Grand Pavois Complex, Paris 15th","$1,083,368",6,,4,106 m²,Condo/Apartment,,,1970,,"Common, Gas",,D183,D30,,,1,2,1,,,,,,,,,,,,
STUDIO DUVERNET HALLE,"$207,919",1,,,18.64 m²,Condo/Apartment,,,1890,,"Individual, Electric",,G663,D21,,,,,1,,,,,,,,,,,,
3 Rooms in Duplex in the heart of Montparnasse,"$695,982",3,1,2,67 m²,,,,,,,,No data,No data,,,,,,,,,,,,,,,,,
Apartment with stunning views 65m2 - PELLEPORT,"$579,985",2,,1,65 m²,Condo/Apartment,,,1966,,Common,,D177,D38,,,1,1,,,,,1,,,,,,,,
"Family apartment, 104m2, top floor, quiet and bright, rue Henri Barbusse","$1,451,056",5,2,3,104 m²,Condo/Apartment,,,,,"Radiator, Common",,D213,E38,,,1,1,,,,,,,,,,,,,
2 turnkey pieces - Voltaire,"$311,879",2,1,1,27.03 m²,Condo/Apartment,,,1880,,"Radiator, Individual, Electric",,F417,C13,,,,1,1,,,,,,,,,,,,
