Property Title,Price,Rooms,Floors,Bedrooms,Living,Type,Condition,Standing,Construction year,Renovation year,Heating,Hot water,Energy efficiency rating,Environmental (CO₂) impact rating,Total,Hot water waste,Bathrooms,Toilet rooms,Shower rooms,Land,Balconies,Balcony,Parking lots (outside),Parking lots (inside),Internal,Terraces,Garages (outside),Environment,Terrace,Cellar,Beds
MAID'S ROOM - 4.5M2- 1 ROOM,"$65,549",1,,1,4.33 m²,Condo/Apartment,Good condition,,1890,,"Radiator, Electric",,G893,C27,4.33 m²,,,,,,,,,,,,,,,,
Cosy Parisian studio with exposed beams and central location - Quartier Latin Paris 6,"$370,971",1,4,,26.1 m²,Condo/Apartment,Requires renovation,,1700,,"Radiator, Individual, Electric","Hot water tank, Individual",D241,A7,26.1 m²,Main drainage,,,,,,,,,,,,,,,
Boulevard Richard Lenoir / Marais,"$787,904",3,,2,64 m²,Condo/Apartment,,,,,"Radiator, Individual, Electric",,No data,No data,,,,,1,,,,,,,,,,,,
4-room apartment,"$842,619",4,5,2,64 m²,Condo/Apartment,,,1905,,"Radiator, Individual, Electric",,D234,B8,,,1,1,,,,,,,,,,,,,
A sun-drenched pied-à-terre with a balcony at the foot of the metro!,"$809,790",3,,1,51.2 m²,Condo/Apartment,,,1880,,"Radiator, Common, Gas",,No data,No data,,,1,1,,,1,5.8 m²,,,,,,,,,
Apartment 3 rooms,"$984,880",3,7,2,76.12 m²,Condo/Apartment,,,1972,,Common,,D159,D34,,,1,1,,,1,,,,,,,,,,
REUILLY DIDEROT,"$689,416",4,13,3,68.07 m²,Condo/Apartment,,,,,Common,,C132,C23,,,1,1,,,,,,,,,,,,,
Marché d'Aligre - Large 5 room apartment family or liberal profession,"$1,191,705",5,7,3,109.94 m²,Condo/Apartment,,,1978,,"Common, Electric",,D211,B6,,,1,2,1,,,,,,,,,,,,
GAMBETTA / MARTIN NADAUD,"$489,157",3,8,2,47 m²,Condo/Apartment,,,1910,,"Radiator, Individual, Gas",,E247,E53,,,,,,,,,,,,,,,,,
"Exclusivity Paris 16 - Chaussée de la Muette - 5th floor, Full sun, South, Unobstructed view","$2,604,460",5,9,3,155.74 m²,Condo/Apartment,,,1926,,"Central, Common, Fuel oil","Hot water tank, Individual",E306,E67,,Main drainage,,,,,,,,,,,,,,,
Apartment 3 rooms,"$481,497",3,,2,49.8 m²,,,,,,,,No data,No data,,,,,,,,,,,,,,,,,
95m2 2 bedroom balcony parking,"$831,676",4,10,2,95 m²,Condo/Apartment,,,,,"Radiator, Common, Gas",,D233,D33,,,1,2,,,2,8.52 m²,1,,,,,,,,
"Condo/Apartment for sale in Paris, France","$317,350",2,,1,28 m²,,,,,,,,G550,C18,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$1,422,604",4,,3,115 m²,Condo/Apartment,,,,,Electric,,C136,A4,,,1,2,,,,,,1,,,,,,,
"Condo/Apartment for sale in Paris, France","$344,708",1,,,31 m²,Condo/Apartment,,,,,Electric,,No data,No data,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$656,587",4,,3,65 m²,,,,,,,,D200,C27,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$194,787",1,,,20 m²,,,,,,,,D255,D46,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$432,253",3,,2,46 m²,,,,,,,,E251,D44,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$869,977",2,,1,52 m²,Condo/Apartment,,,,,Gas,,F372,E68,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$479,308",2,,1,46 m²,Condo/Apartment,,,,,Electric,,D226,B7,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$2,096,481",6,,4,121 m²,Condo/Apartment,,,,,Gas,,C128,E47,,,,2,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$402,159",2,,1,39 m²,Condo/Apartment,,,,,Electric,,G532,C17,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$804,319",2,,1,33 m²,Condo/Apartment,,,,,Electric,,D191,A6,,,1,1,,,,,,,,,,,,,
PARIS 18 I AMIRAUX I 114m² I 6 ROOMS,"$976,125",6,5,4,113.78 m²,Condo/Apartment,,,2004,,Gas,,C78,C13,113 m²,,2,2,,,,,1,1,,,,,,,
TOWN HALL OF THE XV I RARE FOR SALE I CHARM OF THE OLD,"$1,271,152",5,6,3,97 m²,Condo/Apartment,,,,,Gas,,D240,D45,97 m²,,2,1,,,,,,,,,,,,,
PARIS 15 | LA MOTTE PICQUET | 54 m² | BRIGHT AND QUIET WITH BALCONY,"$653,304",2,6,1,54 m²,Condo/Apartment,,,,,Electric,Hot water tank,D227,B7,54 m²,,1,1,,,,,1,1,,,,,,,
PARIS 15 | CAMBRONNE | STUDIO | EXCEPTIONAL VIEW,"$359,372",1,13,,24 m²,,,,,,,,D276,D48,24 m²,,1,,,,,,,,,,,,,,
4 ROOMS | CHAMP DE MARS | EXCEPTIONAL VIEW,"$913,750",4,32,3,88 m²,,,,,,,,D219,C27,88 m²,,2,2,,,,,1,1,,,,,,,
PARIS 18 I AMIRAUX I 114m² I 6 ROOMS,"$976,125",6,5,5,113.78 m²,Condo/Apartment,,,2004,,Gas,,C78,C13,113 m²,,2,2,,,,,1,1,,,,,,,
4 ROOMS | CHAMP DE MARS | EXCEPTIONAL VIEW,"$913,750",4,32,3,88 m²,,,,,,,,D219,C27,88 m²,,2,2,,,,,1,1,,,,,,,
PARIS 18 I LA CHAPELLE I 113m² I 5 ROOMS,"$809,790",5,1,4,113 m²,Condo/Apartment,,,,,Gas,Boiler,D229,D48,113 m²,,2,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$484,670",1,,,32 m²,Condo/Apartment,,,,,Gas,,E321,E51,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$2,013,532",6,,3,150 m²,Condo/Apartment,,,,,Gas,,E326,E62,,,1,2,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$298,747",1,,,20 m²,,,,,,,,D247,A7,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$265,699",1,,,22 m²,Condo/Apartment,,,,,Electric,,C161,B11,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$1,417,133",4,,3,111 m²,,,,,,,,D247,D44,,,2,2,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$744,131",3,,2,82 m²,Condo/Apartment,,,,,Electric,,E316,B10,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$453,045",3,,2,54 m²,Condo/Apartment,,,,,Electric,,D234,B7,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$819,639",3,,2,75 m²,,,,,,,,E282,B9,,,1,1,,,,,,,,,,,,,
"House for sale in Paris, France","$1,093,217",5,,4,122 m²,House,,,,,Gas,,E308,E68,,,1,2,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$546,061",3,,2,66 m²,Condo/Apartment,,,,,Electric,,D201,B6,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$2,675,590",5,,3,148 m²,Condo/Apartment,,,,,Gas,,No data,No data,,,1,2,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$525,269",3,,2,54 m²,,,,,,,,No data,No data,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$393,952",3,,2,64 m²,,,,,,,,No data,No data,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$261,540",1,,,21 m²,,,,,,,,A60,E60,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$261,540",1,,1,22 m²,Condo/Apartment,,,,,Electric,,F408,C13,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$98,488",1,,1,8 m²,,,,,,,,No data,No data,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$229,805",1,,1,21 m²,,,,,,,,No data,No data,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$251,692",1,,,23 m²,,,,,,,,No data,No data,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$809,790",4,,2,85 m²,Condo/Apartment,,,,,Gas,,D228,D42,,,,2,,,,,,,,,,,,,
Charming two-room apartment near Montparnasse,"$323,259",2,,1,32 m²,Condo/Apartment,,,,,Electric,,G518,C17,32 m²,,1,1,,,,,,,11 m²,,,,,,
"Condo/Apartment for sale in Paris, France","$492,440",3,,2,34 m²,Condo/Apartment,,,,,Electric,,E328,B10,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$383,009",2,,1,29 m²,Condo/Apartment,,,,,Electric,,E328,B10,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$228,711",1,,,15 m²,Condo/Apartment,,,,,Electric,,G655,C21,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$1,231,100",5,,3,108 m²,,,,,,,,D199,C27,,,,2,,,,,,,,,,,,,
"House for sale in Paris, France","$393,952",2,,1,30 m²,House,,,,,Electric,,E329,B10,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$419,121",2,,1,40 m²,Condo/Apartment,,,,,Gas,,D207,D44,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$355,651",2,,1,23 m²,Condo/Apartment,,,,,Electric,,F412,C13,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$372,066",1,,,32 m²,Condo/Apartment,,,,,Electric,,E315,B10,,,1,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$874,354",3,,1,84 m²,Condo/Apartment,,,,,Solar,,E271,D38,,,1,1,,,,,,1,,,,,,,
"Condo/Apartment for sale in Paris, France","$874,354",2,,1,84 m²,Condo/Apartment,,,,,Solar,,E271,D38,,,1,1,,,,,,1,,,,,,,
"Condo/Apartment for sale in Paris, France","$149,921",1,,,9 m²,Condo/Apartment,,,,,Electric,,No data,No data,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$164,147",2,,,13 m²,Condo/Apartment,,,,,Electric,,G831,C27,,,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$631,965",3,,2,46 m²,Condo/Apartment,,,,,Gas,,F366,F80,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$896,241",3,,2,61 m²,Condo/Apartment,,,,,Gas,,D229,D49,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$517,609",3,,2,52 m²,Condo/Apartment,,,,,Gas,,F346,F77,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$536,212",3,,2,52 m²,Condo/Apartment,,,,,Gas,,D173,D38,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$1,159,970",4,,3,87 m²,,,,,,,,E284,D37,,,2,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$436,630",4,,2,74 m²,Condo/Apartment,,,,,Electric,,F378,C12,,,,2,,,,,,1,,,,,,,
"Condo/Apartment for sale in Paris, France","$524,284",2,,1,48 m²,,,,,,,,D231,D41,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$1,312,079",4,,3,102 m²,Condo/Apartment,,,,,Solar,,D213,D35,,,1,1,,,,,,1,,,,,,,
"Condo/Apartment for sale in Paris, France","$820,733",4,,3,76 m²,Condo/Apartment,,,,,Gas,,D240,D43,,,,1,,,,,1,,,,,,,,
"Condo/Apartment for sale in Paris, France","$564,664",2,,1,53 m²,,,,,,,,E295,E46,,,1,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$74,413",1,,,7 m²,,,,,,,,No data,No data,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$574,513",2,,1,53 m²,,,,,,,,D225,D46,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$651,115",2,,1,53 m²,,,,,,,,D211,D43,,,,1,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$588,739",2,,1,55 m²,Condo/Apartment,,,,,Electric,,E315,B10,,,1,1,,,,,,,,,,,,,
