,Rooms,Floors,Bedrooms,Living,Type,Condition,Standing,Construction year,Renovation year,Heating,Hot water,Energy efficiency rating,Environmental (CO₂) impact rating,Total,Hot water waste,Bathrooms,Toilet rooms,Shower rooms,Land,Balconies,Balcony,Parking lots (outside),Parking lots (inside),Internal,Terraces,Garages (outside),Environment
35,1,,1.0,4.33,Condo/Apartment,Good condition,,1890.0,,"Radiator, Electric",,G893,C27,4.33 m²,,,,,,,,,,,,,
36,1,4.0,,26.1,Condo/Apartment,Requires renovation,,1700.0,,"Radiator, Individual, Electric","Hot water tank, Individual",D241,A7,26.1 m²,Main drainage,,,,,,,,,,,,
37,3,,2.0,64.0,Condo/Apartment,,,,,"Radiator, Individual, Electric",,No data,No data,,,,,1.0,,,,,,,,,
38,4,5.0,2.0,64.0,Condo/Apartment,,,1905.0,,"Radiator, Individual, Electric",,D234,B8,,,1.0,1.0,,,,,,,,,,
39,3,,1.0,51.2,Condo/Apartment,,,1880.0,,"Radiator, Common, Gas",,No data,No data,,,1.0,1.0,,,1.0,5.8 m²,,,,,,
40,3,7.0,2.0,76.12,Condo/Apartment,,,1972.0,,Common,,D159,D34,,,1.0,1.0,,,1.0,,,,,,,
41,4,13.0,3.0,68.07,Condo/Apartment,,,,,Common,,C132,C23,,,1.0,1.0,,,,,,,,,,
42,5,7.0,3.0,109.94,Condo/Apartment,,,1978.0,,"Common, Electric",,D211,B6,,,1.0,2.0,1.0,,,,,,,,,
43,3,8.0,2.0,47.0,Condo/Apartment,,,1910.0,,"Radiator, Individual, Gas",,E247,E53,,,,,,,,,,,,,,
44,5,9.0,3.0,155.74,Condo/Apartment,,,1926.0,,"Central, Common, Fuel oil","Hot water tank, Individual",E306,E67,,Main drainage,,,,,,,,,,,,
45,3,,2.0,49.8,,,,,,,,No data,No data,,,,,,,,,,,,,,
46,4,10.0,2.0,95.0,Condo/Apartment,,,,,"Radiator, Common, Gas",,D233,D33,,,1.0,2.0,,,2.0,8.52 m²,1.0,,,,,
47,2,,1.0,28.0,,,,,,,,G550,C18,,,,1.0,,,,,,,,,,
48,4,,3.0,115.0,Condo/Apartment,,,,,Electric,,C136,A4,,,1.0,2.0,,,,,,1.0,,,,
49,1,,,31.0,Condo/Apartment,,,,,Electric,,No data,No data,,,,1.0,,,,,,,,,,
50,4,,3.0,65.0,,,,,,,,D200,C27,,,1.0,1.0,,,,,,,,,,
51,1,,,20.0,,,,,,,,D255,D46,,,1.0,1.0,,,,,,,,,,
52,3,,2.0,46.0,,,,,,,,E251,D44,,,,1.0,,,,,,,,,,
53,2,,1.0,52.0,Condo/Apartment,,,,,Gas,,F372,E68,,,1.0,1.0,,,,,,,,,,
54,2,,1.0,46.0,Condo/Apartment,,,,,Electric,,D226,B7,,,,1.0,,,,,,,,,,
55,6,,4.0,121.0,Condo/Apartment,,,,,Gas,,C128,E47,,,,2.0,,,,,,,,,,
56,2,,1.0,39.0,Condo/Apartment,,,,,Electric,,G532,C17,,,,1.0,,,,,,,,,,
57,2,,1.0,33.0,Condo/Apartment,,,,,Electric,,D191,A6,,,1.0,1.0,,,,,,,,,,
58,6,5.0,4.0,113.78,Condo/Apartment,,,2004.0,,Gas,,C78,C13,113 m²,,2.0,2.0,,,,,1.0,1.0,,,,
59,5,6.0,3.0,97.0,Condo/Apartment,,,,,Gas,,D240,D45,97 m²,,2.0,1.0,,,,,,,,,,
60,2,6.0,1.0,54.0,Condo/Apartment,,,,,Electric,Hot water tank,D227,B7,54 m²,,1.0,1.0,,,,,1.0,1.0,,,,
61,1,13.0,,24.0,,,,,,,,D276,D48,24 m²,,1.0,,,,,,,,,,,
62,4,32.0,3.0,88.0,,,,,,,,D219,C27,88 m²,,2.0,2.0,,,,,1.0,1.0,,,,
63,6,5.0,5.0,113.78,Condo/Apartment,,,2004.0,,Gas,,C78,C13,113 m²,,2.0,2.0,,,,,1.0,1.0,,,,
